Validation_Set,Topics,Alpha,Beta,Perplexity,U_mass,C_v,C_uci,C_npmi
100% Corpus,10,0.01,0.01,-6.3992201459771465,-14.889939299711685,0.4441690554529103,-12.761406896810762,-0.38922686976778753
100% Corpus,10,0.01,0.1,-5.764276985846283,-15.083205419896382,0.43897081273846983,-12.770447923609714,-0.39064725402947237
100% Corpus,10,0.01,1.0,-5.717388859548651,-14.910871028344326,0.43818605483126233,-12.551907573330684,-0.38041415644569365
100% Corpus,10,0.1,0.01,-6.450411339902452,-14.762514977864885,0.42801813220401774,-12.69636259170157,-0.3877469984235603
100% Corpus,10,0.1,0.1,-5.830365129507014,-14.823152956375171,0.4299334505571425,-12.686620741957093,-0.3876284798451283
100% Corpus,10,0.1,1.0,-5.7948709062877155,-14.89517630878618,0.4611466948789336,-12.654153976724796,-0.38437523027939946
100% Corpus,10,1.0,0.01,-6.691280883967521,-13.584955182413399,0.38464074932131387,-11.649670528297255,-0.3353165274400287
100% Corpus,10,1.0,0.1,-6.0073090305086225,-13.053014179447553,0.3591023114033379,-11.250829950503672,-0.3172552614096383
100% Corpus,10,1.0,1.0,-6.0659713695424475,-11.848966593824057,0.3959972157023208,-10.331287182978045,-0.27035326756742184
100% Corpus,15,0.01,0.01,-6.298302279869538,-14.067144800451684,0.43860611950503176,-12.262374307719586,-0.3656511812039382
100% Corpus,15,0.01,0.1,-5.6385779917772325,-14.082837475672314,0.4530837539995107,-12.228740202689924,-0.3648764572767505
100% Corpus,15,0.01,1.0,-5.7251458212555875,-13.922733636210772,0.4065160785493275,-11.998430631888768,-0.35277475271887315
100% Corpus,15,0.1,0.01,-6.402508585190489,-13.718112265234918,0.4355879164022832,-12.073328825097292,-0.35729871314395895
100% Corpus,15,0.1,0.1,-5.745755064451978,-13.72673013229989,0.43896264528137335,-12.030300338330834,-0.3557820737872153
100% Corpus,15,0.1,1.0,-5.8678137244567985,-13.916909107713025,0.4134483734274846,-12.099205508750371,-0.36004029207479576
100% Corpus,15,1.0,0.01,-6.76470583398782,-12.566329161250419,0.3787271409457413,-11.240661026233546,-0.31295701483651567
100% Corpus,15,1.0,0.1,-6.066049532361129,-11.971521690695601,0.41045069387295446,-10.676166901506225,-0.28433904133591686
100% Corpus,15,1.0,1.0,-6.250435717931638,-11.073246878394071,0.449879585065382,-10.420848050743839,-0.28183314263230497
100% Corpus,20,0.01,0.01,-6.250348071394754,-13.048475937496281,0.42252819199169334,-11.48277485620805,-0.32488070500759314
100% Corpus,20,0.01,0.1,-5.601807392845374,-12.901849633087982,0.3988125984267098,-11.537861571105719,-0.330642845725605
100% Corpus,20,0.01,1.0,-5.725098014002045,-12.920078616565068,0.45423286887798986,-11.602814936589263,-0.332803899041727
100% Corpus,20,0.1,0.01,-6.403677708549159,-12.812977059021458,0.4014373251640877,-11.315147474668665,-0.3171205318133562
100% Corpus,20,0.1,0.1,-5.79126978438525,-13.058274561217985,0.41282874857444735,-11.600462942318895,-0.3324013730067802
100% Corpus,20,0.1,1.0,-5.917705890287956,-13.365867301339643,0.41875601427864384,-11.847781807662972,-0.34643404479204826
100% Corpus,20,1.0,0.01,-6.786325019367394,-12.01074876302741,0.41190209844633124,-10.690465248569263,-0.281371112454864
100% Corpus,20,1.0,0.1,-6.141936189565985,-11.292145784514172,0.4368155863974243,-10.185760742494288,-0.2573646954492182
100% Corpus,20,1.0,1.0,-6.417592539092792,-11.471032261186668,0.4375943245294617,-11.279786492201719,-0.3374622397917406
100% Corpus,25,0.01,0.01,-6.2371562019434,-12.803429251511215,0.39812456588527345,-11.31763930179917,-0.320049141088943
100% Corpus,25,0.01,0.1,-5.591845676697613,-12.899650508064337,0.397502204793977,-11.247081583252735,-0.31930241905902884
100% Corpus,25,0.01,1.0,-5.7075787161565605,-12.11729582959567,0.4696636371841648,-11.010540569103828,-0.3109349723429039
100% Corpus,25,0.1,0.01,-6.353482752435264,-11.762797238289382,0.44088441643474224,-10.76807671035723,-0.2911353683145397
100% Corpus,25,0.1,0.1,-5.7707442594780805,-12.524196644336719,0.41049331624404223,-11.119697399412065,-0.31016347761882296
100% Corpus,25,0.1,1.0,-5.950383201064098,-12.375473388314246,0.4376494216060403,-11.2130160400063,-0.31949810046641686
100% Corpus,25,1.0,0.01,-6.809075609581279,-11.496708300296016,0.4535160689133429,-10.56117771396365,-0.27953765295646804
100% Corpus,25,1.0,0.1,-6.2227447674387975,-10.120666280188862,0.4748194879657083,-9.86631786226108,-0.2452524681716855
100% Corpus,25,1.0,1.0,-6.603306764506159,-13.528470518800257,0.49743984780246886,-12.832181678190139,-0.4103566058888859
100% Corpus,30,0.01,0.01,-6.131067331507802,-11.78354380912659,0.4021807164847821,-10.577079196727242,-0.28404459856155057
100% Corpus,30,0.01,0.1,-5.574885516604852,-12.380667834510243,0.39274734579107495,-10.909266898906896,-0.2984902096749931
100% Corpus,30,0.01,1.0,-5.760923192871823,-12.353540381928486,0.4105679794184461,-10.937414722548574,-0.3037700730372069
100% Corpus,30,0.1,0.01,-6.37785659031499,-11.433207534867586,0.4304704194085072,-10.357212239414945,-0.27509541235348706
100% Corpus,30,0.1,0.1,-5.806377372500442,-11.952603768783463,0.4120736280254478,-10.744245346645517,-0.2938400417158486
100% Corpus,30,0.1,1.0,-5.99697021565267,-12.357863425570223,0.3943190669558809,-10.900227512524879,-0.3043480638682216
100% Corpus,30,1.0,0.01,-6.859428719789277,-11.586885841550927,0.4734000120767275,-10.967871304270783,-0.3005774616118185
100% Corpus,30,1.0,0.1,-6.311794911458024,-9.925804137172209,0.4772736287074103,-9.866644982786612,-0.24433308860344474
100% Corpus,30,1.0,1.0,-6.730487454352191,-15.377158527659246,0.5305640701368802,-13.908136350768958,-0.46377924935980175
